PrimaryKey,Title,ReviewText,Date,Rating,Source,ReviewerName,Sentiment,SentimentDrivers,ExtractedTags,Cluster
01305422-7546-4d33-a159-399c47d67e0e,Sample Review 14,This is review number 14. The product is quite good overall. Satisfied with purchase.,2024-02-10,3,BestBuy Canada,Reviewer_14,Positive,Satisfaction,General Feedback,1
7c42df01-e8b7-42f0-ba0c-6d1db6e01f22,Sample Review 15,This is review number 15. The product is quite good overall. Satisfied with purchase.,2024-02-08,3,BestBuy Canada,Reviewer_15,Positive,Satisfaction,General Feedback,0
e192e678-d7a1-434b-8d07-47f843d4eca0,Sample Review 16,This is review number 16. The product is quite good overall. Satisfied with purchase.,2024-01-03,5,BestBuy Canada,Reviewer_16,Positive,Satisfaction,General Feedback,1
c3aee4ad-eaf6-4814-81d5-a5948a6e51f9,Sample Review 17,This is review number 17. The product is quite good overall. Satisfied with purchase.,2024-02-13,1,BestBuy Canada,Reviewer_17,Positive,Satisfaction,General Feedback,1
6044fca3-b78c-4d02-867b-83306f0f6b00,Sample Review 18,This is review number 18. The product is quite good overall. Satisfied with purchase.,2024-02-12,3,BestBuy Canada,Reviewer_18,Positive,Satisfaction,General Feedback,1
25eb6b2e-1749-4ac4-8e0e-210c3c773c90,Sample Review 19,This is review number 19. The product is quite good overall. Satisfied with purchase.,2024-02-20,5,BestBuy Canada,Reviewer_19,Positive,Satisfaction,General Feedback,1
14d46770-7139-45ba-b29c-f59df1790086,Sample Review 20,This is review number 20. The product is quite good overall. Satisfied with purchase.,2024-01-12,5,BestBuy Canada,Reviewer_20,Positive,Satisfaction,General Feedback,1
7c34def1-7d8c-4da7-aa1d-7ddda5558132,Sample Review 21,This is review number 21. The product is quite good overall. Satisfied with purchase.,2024-02-24,3,BestBuy Canada,Reviewer_21,Positive,Satisfaction,General Feedback,1
77a51be8-7b93-428b-8717-900ded878f86,Sample Review 22,This is review number 22. The product is quite good overall. Satisfied with purchase.,2024-02-10,1,BestBuy Canada,Reviewer_22,Positive,Satisfaction,General Feedback,1
56fe7282-67af-49ca-838d-183f975b976f,Sample Review 23,This is review number 23. The product is quite good overall. Satisfied with purchase.,2024-01-27,4,BestBuy Canada,Reviewer_23,Positive,Satisfaction,General Feedback,1
d4656a69-9fda-4af1-8003-a99b3c580ee7,Sample Review 24,This is review number 24. The product is quite good overall. Satisfied with purchase.,2024-01-14,5,BestBuy Canada,Reviewer_24,Positive,Satisfaction,General Feedback,1
919d5f74-68c0-4c05-96e0-854696aec81f,Sample Review 25,This is review number 25. The product is quite good overall. Satisfied with purchase.,2024-01-14,5,BestBuy Canada,Reviewer_25,Positive,Satisfaction,General Feedback,1
13278490-0513-4dc8-b6c7-3bdce4bdaf1c,Sample Review 26,This is review number 26. The product is quite good overall. Satisfied with purchase.,2024-02-12,5,BestBuy Canada,Reviewer_26,Positive,Satisfaction,General Feedback,1
762f1af5-539e-43cf-be56-5a63d73e41bf,Sample Review 27,This is review number 27. The product is quite good overall. Satisfied with purchase.,2024-01-22,5,BestBuy Canada,Reviewer_27,Positive,Satisfaction,General Feedback,1
893deb92-7675-4427-859c-e91c33586960,Sample Review 28,This is review number 28. The product is quite good overall. Satisfied with purchase.,2024-01-06,3,BestBuy Canada,Reviewer_28,Positive,Satisfaction,General Feedback,1
baf68bb6-9d15-4e4f-99cb-c27facaed46c,Sample Review 29,This is review number 29. The product is quite good overall. Satisfied with purchase.,2024-01-12,5,BestBuy Canada,Reviewer_29,Positive,Satisfaction,General Feedback,1
12147d69-c297-42d7-aaf1-1c9a71a80179,Sample Review 30,This is review number 30. The product is quite good overall. Satisfied with purchase.,2024-02-02,3,BestBuy Canada,Reviewer_30,Positive,Satisfaction,General Feedback,1
eaf7ea52-3e68-4c19-b327-378572a856bd,Sample Review 31,This is review number 31. The product is quite good overall. Satisfied with purchase.,2024-01-08,4,BestBuy Canada,Reviewer_31,Positive,Satisfaction,General Feedback,1
080f8fe3-8f02-4225-b4d6-65e8e4fc05b3,Sample Review 32,This is review number 32. The product is quite good overall. Satisfied with purchase.,2024-02-09,4,BestBuy Canada,Reviewer_32,Positive,Satisfaction,General Feedback,1
e8d369a2-4747-42b0-9483-e1600bfec638,Sample Review 33,This is review number 33. The product is quite good overall. Satisfied with purchase.,2024-02-20,5,BestBuy Canada,Reviewer_33,Positive,Satisfaction,General Feedback,1
04aeca0d-a7c3-472b-ba9c-bb6967a7297e,Sample Review 34,This is review number 34. The product is quite good overall. Satisfied with purchase.,2024-02-05,1,BestBuy Canada,Reviewer_34,Positive,Satisfaction,General Feedback,1
aae21bec-84ec-4df2-939c-00607247cab3,Sample Review 35,This is review number 35. The product is quite good overall. Satisfied with purchase.,2024-02-02,5,BestBuy Canada,Reviewer_35,Positive,Satisfaction,General Feedback,1
0cc92936-6e8a-4e07-8eee-f504b359d5b2,Sample Review 36,This is review number 36. The product is quite good overall. Satisfied with purchase.,2024-02-10,3,BestBuy Canada,Reviewer_36,Positive,Satisfaction,General Feedback,1
4e81aab5-9265-4ab4-a38c-a80fa5883d67,Sample Review 37,This is review number 37. The product is quite good overall. Satisfied with purchase.,2024-01-15,4,BestBuy Canada,Reviewer_37,Positive,Satisfaction,General Feedback,1
f7fddcf7-367e-4e14-be24-3449f3ecf347,Sample Review 38,This is review number 38. The product is quite good overall. Satisfied with purchase.,2024-02-07,1,BestBuy Canada,Reviewer_38,Positive,Satisfaction,General Feedback,1
9505f12c-54f9-4205-bd72-5b9cda7c88dd,Sample Review 39,This is review number 39. The product is quite good overall. Satisfied with purchase.,2024-01-28,4,BestBuy Canada,Reviewer_39,Positive,Satisfaction,General Feedback,1
a041366c-1683-404d-a826-132d1e8a20d9,Sample Review 40,This is review number 40. The product is quite good overall. Satisfied with purchase.,2024-01-04,5,BestBuy Canada,Reviewer_40,Positive,Satisfaction,General Feedback,1
2b9f6b18-9637-451b-bbf3-22a2516269c1,Sample Review 41,This is review number 41. The product is quite good overall. Satisfied with purchase.,2024-02-04,4,BestBuy Canada,Reviewer_41,Positive,Satisfaction,General Feedback,1
c9dee9b9-8901-488d-96ce-f8ffa250538b,Sample Review 42,This is review number 42. The product is quite good overall. Satisfied with purchase.,2024-01-05,2,BestBuy Canada,Reviewer_42,Positive,Satisfaction,General Feedback,1
f7324d65-0f87-4b93-80ff-63a8c31b910c,Sample Review 43,This is review number 43. The product is quite good overall. Satisfied with purchase.,2024-01-28,2,BestBuy Canada,Reviewer_43,Positive,Satisfaction,General Feedback,1
22b25cad-d7a7-461c-aec9-c622ff38ac6e,Sample Review 44,This is review number 44. The product is quite good overall. Satisfied with purchase.,2024-01-19,5,BestBuy Canada,Reviewer_44,Positive,Satisfaction,General Feedback,1
c50a8ac7-4c88-4a8f-b02d-d083fa583ef7,Sample Review 45,This is review number 45. The product is quite good overall. Satisfied with purchase.,2024-02-21,4,BestBuy Canada,Reviewer_45,Positive,Satisfaction,General Feedback,1
edbc690c-806f-469f-874a-f3829e73112c,Sample Review 46,This is review number 46. The product is quite good overall. Satisfied with purchase.,2024-01-23,5,BestBuy Canada,Reviewer_46,Positive,Satisfaction,General Feedback,1
6018bf14-d74a-4e97-9fb2-9d1dcdac3a7b,Sample Review 47,This is review number 47. The product is quite good overall. Satisfied with purchase.,2024-01-26,2,BestBuy Canada,Reviewer_47,Positive,Satisfaction,General Feedback,1
5cf11a3f-7e7a-4212-8c92-c677e4e7b485,Sample Review 48,This is review number 48. The product is quite good overall. Satisfied with purchase.,2024-02-06,5,BestBuy Canada,Reviewer_48,Positive,Satisfaction,General Feedback,1
2c4113e6-1dc1-4d89-8f98-2e016c7c3db0,Sample Review 49,This is review number 49. The product is quite good overall. Satisfied with purchase.,2024-02-19,3,BestBuy Canada,Reviewer_49,Positive,Satisfaction,General Feedback,1
